#domain,ioc,uri_path,ip
d2zp39t2eezbsc.cloudfront.net,Possible Cobalt Strike C2 Domain,/s/ref=nb_sb_noss_1/167-3294888-0262949/field-keywords=books,107.23.38.171
d2zp39t2eezbsc.cloudfront.net,Possible Cobalt Strike C2 Fronting Domain,/s/ref=nb_sb_noss_1/167-3294888-0262949/field-keywords=books,107.23.38.171
d3c0hjeoqmryl5.cloudfront.net,Possible Cobalt Strike C2 Domain,/safebrowsing/8q98pYJ/V16gfsYQQuKzweZW4ysIJrtWB-h,137.184.237.252
d3o8tsrpl5k6yb.cloudfront.net,Possible Cobalt Strike C2 Domain,/safebrowsing/8q98pYJ/V16gfsYQQuKzweZW4ysIJrtWB-h,137.184.237.252
d3so0g2pxg0u5a.cloudfront.net,Possible Cobalt Strike C2 Domain,/safebrowsing/8q98pYJ/V16gfsYQQuKzweZW4ysIJrtWB-h,137.184.237.252
d69b6834b7eb46fcb7bbcaa60f9f0f2d.apig.cn-east-3.huaweicloudapis.com,Possible Cobalt Strike C2 Domain,/static/askbob,101.36.121.188
d69b6834b7eb46fcb7bbcaa60f9f0f2d.apig.cn-east-3.huaweicloudapis.com,Possible Cobalt Strike C2 Domain,/static/askbob,101.36.126.189
d69b6834b7eb46fcb7bbcaa60f9f0f2d.apig.cn-east-3.huaweicloudapis.com,Possible Cobalt Strike C2 Domain,/static/askbob,152.32.131.118
d8g.lol,Possible Cobalt Strike C2 Domain,/api/3,159.75.104.157
d9msk9dy9tbnk.cloudfront.net,Possible Cobalt Strike C2 Fronted Domain,/jquery-2.8.4.min.js,4.158.105.167
dctrvi.azureedge.net,Possible Cobalt Strike C2 Domain,/w3c.js,64.225.12.181
delabfactory.com,Possible Cobalt Strike C2 Fronted Domain,/s/ref=nb_sb_noss_1/167-3294888-0262949/field-keywords=books,185.196.9.63
dianqi1.dianqi2.jiayongdianqi.xyz,Possible Cobalt Strike C2 Domain,/home/,45.135.118.251
dianqi1.jiayongdianqi.xyz,Possible Cobalt Strike C2 Domain,/home/,45.135.118.251
dianqi2.dianqi1.jiayongdianqi.xyz,Possible Cobalt Strike C2 Domain,/home/,45.135.118.251
dianqi2.jiayongdianqi.xyz,Possible Cobalt Strike C2 Domain,/home/,45.135.118.251
dig.fuli-oa.cn,Possible Cobalt Strike C2 Domain,/en_US/all.js,62.234.13.73
dig.fuli-oa.cn,Possible Cobalt Strike C2 Domain,/fwlink,62.234.13.73
dmobd90auod5w.cloudfront.net,Possible Cobalt Strike C2 Fronted Domain,/s/ref=nb_sb_noss_1/167-3294888-0262949/field-keywords=books,107.23.38.171
dns.artstrailreviews.com,Possible Cobalt Strike C2 Domain,/jquery-3.3.1.min.js,45.77.72.150
dns.byresolved.com,Possible Cobalt Strike C2 Domain,/acct.php,18.219.198.202
dns.checkavail.space,Possible Cobalt Strike C2 Domain,/maps/overlaybfpr,191.101.44.35
dns.cityoall.com,Possible Cobalt Strike C2 Domain,/IE9CompatViewList.xml,94.20.88.63
dns.ibmxwork.com,Possible Cobalt Strike C2 Domain,/ml.js,3.74.161.55
dns.nightmare.su,Possible Cobalt Strike C2 Domain,/PZVM,94.228.118.45
dns.ns1.akingump.cloud,Possible Cobalt Strike C2 Domain,/fwlink,100.26.145.203
dns.ontexcare.com,Possible Cobalt Strike C2 Domain,/jquery-3.3.1.min.js,95.179.190.134
dns.otxcarecosmetics.com,Possible Cobalt Strike C2 Domain,/jquery-3.3.1.min.js,168.100.11.227
dns.otxcosmeticscare.com,Possible Cobalt Strike C2 Domain,/jquery-3.3.1.min.js,134.209.87.204
dns.recentbeelive.com,Possible Cobalt Strike C2 Domain,/jquery-3.3.1.min.js,45.77.160.60
dns.ringatpstul.com,Possible Cobalt Strike C2 Domain,/cm,148.72.132.181
dns.sstr.com.br,Possible Cobalt Strike C2 Domain,/s/ref=nb_sb_noss_1/167-3294888-0262949/field-keywords=books,18.222.142.217
dns.t0nger.com,Possible Cobalt Strike C2 Domain,/pixel,8.218.137.213
dns.tecbanis.com,Possible Cobalt Strike C2 Domain,/s/ref=nb_sb_noss_1/167-3294888-0262949/field-keywords=books,3.141.100.233
dns.thenewbees.org,Possible Cobalt Strike C2 Domain,/jquery-3.3.1.min.js,199.247.30.209
dns.trailcocompany.com,Possible Cobalt Strike C2 Domain,/jquery-3.3.1.min.js,137.220.55.94
dns.trailcosolutions.com,Possible Cobalt Strike C2 Domain,/jquery-3.3.1.min.js,78.141.217.186
dns.veriernano.com,Possible Cobalt Strike C2 Domain,/updates.rss,5.101.0.245
dnsa.checkinfomation.tk,Possible Cobalt Strike C2 Domain,/GetHIP/GetHIPAMFE/HIPAMFE,45.32.94.53
dnsb.checkinfomation.tk,Possible Cobalt Strike C2 Domain,/GetHIP/GetHIPAMFE/HIPAMFE,45.32.94.53
dnsrv.prdcdn.com,Possible Cobalt Strike C2 Domain,/hcp.php,20.104.183.199
dnsswag.djn.blue,Possible Cobalt Strike C2 Domain,/search,159.203.60.8
doc.bluework.ink,Possible Cobalt Strike C2 Domain,/jquery-3.3.1.min.js,8.218.129.91
docloudstorage.com,Possible Cobalt Strike C2 Fronted Domain,/content/hot/y/liveupdate/,164.92.116.94
download.localhost-microsoft.com,Possible Cobalt Strike C2 Domain,/image/,43.129.28.136
download.updatebrowser.cn,Possible Cobalt Strike C2 Fronted Domain,/0RZDKXR/ADGJJ4B3VRSPAV9KC3MXI80OFD.css,8.222.154.119
dropper.bilibili360.xyz,Possible Cobalt Strike C2 Domain,/cm,121.5.128.191
endpointinfrart.azureedge.net,Possible Cobalt Strike C2 Domain,/Collector/2.0/settings/,20.19.35.117
eu.webmailservice.at,Possible Cobalt Strike C2 Domain,/en_US/all.js,20.170.19.248
exchange1.microsoftser.top,Possible Cobalt Strike C2 Domain,/www/handle/doc,23.95.44.80
exchange2.microsoftser.top,Possible Cobalt Strike C2 Domain,/www/handle/doc,23.95.44.80
f6d2b014a8664ddd8d859ce64f3741ad.apig.cn-east-3.huaweicloudapis.com,Possible Cobalt Strike C2 Domain,/static/askbob,101.36.121.188
f6d2b014a8664ddd8d859ce64f3741ad.apig.cn-east-3.huaweicloudapis.com,Possible Cobalt Strike C2 Domain,/static/askbob,101.36.126.189
f6d2b014a8664ddd8d859ce64f3741ad.apig.cn-east-3.huaweicloudapis.com,Possible Cobalt Strike C2 Domain,/static/askbob,152.32.131.118
files.jslibc.com,Possible Cobalt Strike C2 Domain,/jquery-3.3.1.min.js,47.76.78.183
find-ball.com,Possible Cobalt Strike C2 Fronted Domain,/ch,45.149.172.87
firmwarefusion.com,Possible Cobalt Strike C2 Fronted Domain,/dam.html,5.42.66.14
fk.n0reply.eu.org,Possible Cobalt Strike C2 Domain,/api-opt-2023-gfr/3,42.236.91.107
g.fyss888.com,Possible Cobalt Strike C2 Domain,/ca,154.219.145.68
g.fyss888.com,Possible Cobalt Strike C2 Domain,/ca,154.219.145.71
g.fyss888.com,Possible Cobalt Strike C2 Domain,/ca,154.219.145.81
g.fyss888.com,Possible Cobalt Strike C2 Domain,/ca,154.219.145.84
g.fyss888.com,Possible Cobalt Strike C2 Domain,/ca,154.219.145.88
g.fyss888.com,Possible Cobalt Strike C2 Domain,/ca,154.219.151.240
g.fyss888.com,Possible Cobalt Strike C2 Domain,/ca,154.219.151.242
g.fyss888.com,Possible Cobalt Strike C2 Domain,/ca,154.219.151.244
g.fyss888.com,Possible Cobalt Strike C2 Domain,/ca,154.219.154.67
g.fyss888.com,Possible Cobalt Strike C2 Domain,/ca,154.219.154.73
g.fyss888.com,Possible Cobalt Strike C2 Domain,/ca,154.219.163.67
g.fyss888.com,Possible Cobalt Strike C2 Domain,/ca,154.219.163.69
g.fyss888.com,Possible Cobalt Strike C2 Domain,/ca,154.219.163.70
g.fyss888.com,Possible Cobalt Strike C2 Domain,/ca,154.219.163.72
g.fyss888.com,Possible Cobalt Strike C2 Domain,/ca,154.219.163.73
g.fyss888.com,Possible Cobalt Strike C2 Domain,/ca,154.219.163.74
g.fyss888.com,Possible Cobalt Strike C2 Domain,/ca,154.219.163.76
g.fyss888.com,Possible Cobalt Strike C2 Domain,/ca,154.219.163.77
g.fyss888.com,Possible Cobalt Strike C2 Domain,/ca,154.219.163.78
g.fyss888.com,Possible Cobalt Strike C2 Domain,/ca,154.219.163.79
g.fyss888.com,Possible Cobalt Strike C2 Domain,/ca,154.219.163.80
g.fyss888.com,Possible Cobalt Strike C2 Domain,/ca,154.219.163.81
g.fyss888.com,Possible Cobalt Strike C2 Domain,/ca,154.219.163.84
g.fyss888.com,Possible Cobalt Strike C2 Domain,/ca,154.219.163.85
g.fyss888.com,Possible Cobalt Strike C2 Domain,/ca,154.219.163.86
g.fyss888.com,Possible Cobalt Strike C2 Domain,/ca,154.219.163.87
g.fyss888.com,Possible Cobalt Strike C2 Domain,/ca,154.219.163.89
g.fyss888.com,Possible Cobalt Strike C2 Domain,/ca,154.219.163.90
g.fyss888.com,Possible Cobalt Strike C2 Domain,/ca,154.219.163.94
g.fyss888.com,Possible Cobalt Strike C2 Domain,/ca,154.219.164.194
g.fyss888.com,Possible Cobalt Strike C2 Domain,/ca,154.219.164.195
g.fyss888.com,Possible Cobalt Strike C2 Domain,/ca,154.219.164.196
g.fyss888.com,Possible Cobalt Strike C2 Domain,/ca,154.219.164.197
g.fyss888.com,Possible Cobalt Strike C2 Domain,/ca,154.219.164.199
g.fyss888.com,Possible Cobalt Strike C2 Domain,/ca,154.219.164.200
g.fyss888.com,Possible Cobalt Strike C2 Domain,/ca,154.219.164.201
g.fyss888.com,Possible Cobalt Strike C2 Domain,/ca,154.219.164.202
g.fyss888.com,Possible Cobalt Strike C2 Domain,/ca,154.219.164.206
g.fyss888.com,Possible Cobalt Strike C2 Domain,/ca,154.219.164.207
g.fyss888.com,Possible Cobalt Strike C2 Domain,/ca,154.219.164.208
g.fyss888.com,Possible Cobalt Strike C2 Domain,/ca,154.219.164.209
g.fyss888.com,Possible Cobalt Strike C2 Domain,/ca,154.219.164.211
g.fyss888.com,Possible Cobalt Strike C2 Domain,/ca,154.219.164.212
g.fyss888.com,Possible Cobalt Strike C2 Domain,/ca,154.219.164.213
g.fyss888.com,Possible Cobalt Strike C2 Domain,/ca,154.219.164.214
g.fyss888.com,Possible Cobalt Strike C2 Domain,/ca,154.219.164.215
g.fyss888.com,Possible Cobalt Strike C2 Domain,/ca,154.219.164.216
g.fyss888.com,Possible Cobalt Strike C2 Domain,/ca,154.219.164.217
g.fyss888.com,Possible Cobalt Strike C2 Domain,/ca,154.219.164.218
g.fyss888.com,Possible Cobalt Strike C2 Domain,/ca,154.219.164.220
g.fyss888.com,Possible Cobalt Strike C2 Domain,/ca,154.219.164.221
g.fyss888.com,Possible Cobalt Strike C2 Domain,/ca,154.219.164.222
g.fyss888.com,Possible Cobalt Strike C2 Domain,/ca,154.219.177.140
g.fyss888.com,Possible Cobalt Strike C2 Domain,/ca,154.219.177.141
g.fyss888.com,Possible Cobalt Strike C2 Domain,/ca,154.219.177.146
g.fyss888.com,Possible Cobalt Strike C2 Domain,/ca,154.219.177.158
g.fyss888.com,Possible Cobalt Strike C2 Domain,/ca,156.232.186.196
g.fyss888.com,Possible Cobalt Strike C2 Domain,/ca,156.232.186.197
g.fyss888.com,Possible Cobalt Strike C2 Domain,/ca,156.232.186.220
g.fyss888.com,Possible Cobalt Strike C2 Domain,/ca,156.232.192.106
g.fyss888.com,Possible Cobalt Strike C2 Domain,/ca,156.232.192.125
good.bois.sh,Possible Cobalt Strike C2 Domain,/c/msdownload/update/others/2016/12/29136388_,20.55.16.22
googlesupportacc.top,Possible Cobalt Strike C2 Domain,/bg,95.141.41.8
i-wallet.net,Possible Cobalt Strike C2 Fronted Domain,/s/ref=nb_sb_noss_1/167-3294888-0262949/field-keywords=books,4.210.191.162
iane.outlookonlines.com,Possible Cobalt Strike C2 Domain,/web-sinf002209d30000022ii0921071812d,172.105.192.139
igo0gle.com,Possible Cobalt Strike C2 Domain,/Enable/v9/WDOBLGWR0S,88.214.25.235
intl.ccb.com.w.cdngslb.com,Possible Cobalt Strike C2 Domain,/jquery-3.3.1.min.js,47.92.146.233
invoce-social.com,Possible Cobalt Strike C2 Domain,/Latest/v2.36/MZ6PHZVYK,88.214.25.253
ipadd.show,Possible Cobalt Strike C2 Domain,/mod/resellers/2E4WLR6U3UV,172.200.160.7
js.msedgeupdate.com,Possible Cobalt Strike C2 Domain,/match,8.212.44.149
js.msedgeupdate.com,Possible Cobalt Strike C2 Domain,/match,8.212.49.116
jspassport.ssl.qhimg.com.dsa.dnsv1.com,Possible Cobalt Strike C2 Fronted Domain,/s/ref=nb_sb_noss_1/167-3294888-0262949/field-keywords=books,74.48.19.146
leno.outlookonlines.com,Possible Cobalt Strike C2 Domain,/web-sinf002209d30000022ii0921071812d,172.105.192.139
log.lihaimaoyi.com,Possible Cobalt Strike C2 Domain,/api/3,101.35.198.64
log.speech-microsoft.com,Possible Cobalt Strike C2 Domain,/c/msdownload/update/others/2017/12/29132a9e7a0e9a9e2,206.237.30.76
logs.speech-microsoft.com,Possible Cobalt Strike C2 Domain,/c/msdownload/update/others/2017/12/29132a9e7a0e9a9e2,206.237.30.76
mail.cncb.info,Possible Cobalt Strike C2 Domain,/updates,35.78.175.21
miao.xiaogoubi.top,Possible Cobalt Strike C2 Domain,/idle/1376547834/1,125.128.113.108
microsoftwindows.one,Possible Cobalt Strike C2 Domain,/api/3,124.70.140.36
micrusroft.com,Possible Cobalt Strike C2 Domain,/api/3,43.133.57.170
mpr23-421-c2.westus2.cloudapp.azure.com,Possible Cobalt Strike C2 Domain,/tip.php,20.120.177.99
n1.johnchen88.com,Possible Cobalt Strike C2 Domain,/push,43.139.189.54
newcleos.com,Possible Cobalt Strike C2 Domain,/appdata.aspx,142.93.97.142
newstatisc.googleinfo.se,Possible Cobalt Strike C2 Domain,/j.ad,8.212.44.149
newstatisc.googleinfo.se,Possible Cobalt Strike C2 Domain,/j.ad,8.212.49.116
nimappche.buzz,Possible Cobalt Strike C2 Domain,/jquery-3.3.1.min.js,45.207.58.79
nocomp.freeboxos.fr,Possible Cobalt Strike C2 Domain,/visit.js,82.65.203.196
ns.b1ing.com,Possible Cobalt Strike C2 Domain,/dot.gif,8.212.0.206
ns.checkavail.space,Possible Cobalt Strike C2 Domain,/maps/overlaybfpr,191.101.44.35
ns.n0reply.eu.org,Possible Cobalt Strike C2 Domain,/api-opt-2023-gfr/3,167.86.127.180
ns1.163microsoft.com,Possible Cobalt Strike C2 Domain,/_/scs/mail-static/_/js/,101.36.111.47
ns1.163microsoft.com,Possible Cobalt Strike C2 Domain,/_/scs/mail-static/_/js/,152.32.135.165
ns1.623866.xyz,Possible Cobalt Strike C2 Domain,/__utm.gif,43.143.58.212
ns1.akingump.cloud,Possible Cobalt Strike C2 Domain,/IE9CompatViewList.xml,100.26.145.203
ns1.aliyunn.com.cn,Possible Cobalt Strike C2 Domain,/jquery-3.3.1.min.js,121.43.55.149
ns1.baidu12366.xyz,Possible Cobalt Strike C2 Domain,/jquery-3.3.1.min.js,106.54.228.198
ns1.bre1ce.top,Possible Cobalt Strike C2 Domain,/ptj,155.94.170.73
ns1.bwork.online,Possible Cobalt Strike C2 Domain,/cm,124.221.133.199
ns1.centos-yum.xyz,Possible Cobalt Strike C2 Fronted Domain,/jquery-3.5.1.slim.min.js,167.179.84.218
ns1.chongfan1990.xyz,Possible Cobalt Strike C2 Domain,/updates,35.78.175.21
ns1.crnbchina.top,Possible Cobalt Strike C2 Domain,/jquery-3.3.1.min.js,47.242.37.176
ns1.dice1018.top,Possible Cobalt Strike C2 Domain,/jquery-3.3.1.min.js,38.181.70.201
ns1.dingtaIk.tk,Possible Cobalt Strike C2 Fronted Domain,/jquery-3.3.1.min.js,47.94.43.210
ns1.ftoffice.com,Possible Cobalt Strike C2 Domain,/s/ref=nb_sb_noss_1/167-3294888-0262949/field-keywords=books,46.101.147.204
ns1.fuckworldxxx.shop,Possible Cobalt Strike C2 Domain,/Test/protect/JZJ8DALCUB,123.207.51.53
ns1.fwmtest.cn,Possible Cobalt Strike C2 Domain,/fwlink,1.94.110.130
ns1.h1ll0.cs.in,Possible Cobalt Strike C2 Domain,/fwlink,156.234.211.226
ns1.h1ll0.cs.in,Possible Cobalt Strike C2 Domain,/ptj,134.122.129.173
ns1.jd-vip.cn,Possible Cobalt Strike C2 Domain,/dot.gif,62.234.13.73
ns1.kogyoung.com,Possible Cobalt Strike C2 Domain,/jquery-3.3.1.min.js,94.158.247.72
ns1.microsoft2888.top,Possible Cobalt Strike C2 Domain,/visit.js,1.117.93.65
ns1.microsoftgame.online,Possible Cobalt Strike C2 Domain,/owa/,117.50.178.197
ns1.msn-microsoft.co,Possible Cobalt Strike C2 Domain,/jquery-3.3.1.min.js,206.237.16.117
ns1.netiapp.org,Possible Cobalt Strike C2 Domain,/app/v2/api/health/check,108.61.210.72
ns1.vip404.eu.org,Possible Cobalt Strike C2 Domain,/updates.rss,114.115.157.144
ns1.weepstakes.com,Possible Cobalt Strike C2 Domain,/images/branding/googlelogo/1x/googlelogo_color_150x54Dp.png,185.32.126.51
ns1.yuejinjianke.cn,Possible Cobalt Strike C2 Domain,/g.pixel,101.43.191.108
ns1.zengjunhe.top,Possible Cobalt Strike C2 Domain,/fwlink,39.105.143.177
ns1.zpepc.net,Possible Cobalt Strike C2 Domain,/jquery-3.3.1.min.js,185.106.96.225
ns2.0-2.pw,Possible Cobalt Strike C2 Domain,/__utm.gif,178.128.229.91
ns2.163microsoft.com,Possible Cobalt Strike C2 Domain,/_/scs/mail-static/_/js/,101.36.111.47
ns2.163microsoft.com,Possible Cobalt Strike C2 Domain,/_/scs/mail-static/_/js/,152.32.135.165
ns2.623866.xyz,Possible Cobalt Strike C2 Domain,/load,43.143.58.212
ns2.aliyunn.com.cn,Possible Cobalt Strike C2 Domain,/jquery-3.3.1.min.js,121.43.55.149
ns2.centos-yum.xyz,Possible Cobalt Strike C2 Fronted Domain,/jquery-3.5.1.slim.min.js,167.179.84.218
ns2.chongfan1990.xyz,Possible Cobalt Strike C2 Domain,/updates,35.78.175.21
ns2.crnbchina.top,Possible Cobalt Strike C2 Domain,/jquery-3.3.1.min.js,47.242.37.176
ns2.dice1018.top,Possible Cobalt Strike C2 Domain,/jquery-3.3.1.min.js,38.181.70.201
ns2.dingtaIk.tk,Possible Cobalt Strike C2 Fronted Domain,/jquery-3.3.1.min.js,47.94.43.210
ns2.fuckworldxxx.shop,Possible Cobalt Strike C2 Domain,/Test/protect/JZJ8DALCUB,123.207.51.53
ns2.fwmtest.cn,Possible Cobalt Strike C2 Domain,/dpixel,1.94.110.130
ns2.h1ll0.cs.in,Possible Cobalt Strike C2 Domain,/__utm.gif,134.122.129.173
ns2.h1ll0.cs.in,Possible Cobalt Strike C2 Domain,/visit.js,156.234.211.226
ns2.jd-vip.cn,Possible Cobalt Strike C2 Domain,/g.pixel,62.234.13.73
ns2.kogyoung.com,Possible Cobalt Strike C2 Domain,/jquery-3.3.1.min.js,94.158.247.72
ns2.microsoftgame.online,Possible Cobalt Strike C2 Domain,/owa/,117.50.178.197
ns2.msn-microsoft.co,Possible Cobalt Strike C2 Domain,/jquery-3.3.1.min.js,206.237.16.117
