#ip,ioc
116.62.188.205,Possible Cobaltstrike C2 IP
116.62.24.245,Possible Cobaltstrike C2 IP
116.63.185.222,Possible Cobaltstrike C2 IP
117.50.174.131,Possible Cobaltstrike C2 IP
117.50.182.224,Possible Cobaltstrike C2 IP
117.72.8.251,Possible Cobaltstrike C2 IP
118.126.95.13,Possible Cobaltstrike C2 IP
118.195.162.65,Possible Cobaltstrike C2 IP
118.195.193.27,Possible Cobaltstrike C2 IP
118.24.128.204,Possible Cobaltstrike C2 IP
118.24.128.43,Possible Cobaltstrike C2 IP
118.24.29.218,Possible Cobaltstrike C2 IP
118.25.13.19,Possible Cobaltstrike C2 IP
118.25.137.239,Possible Cobaltstrike C2 IP
118.31.34.136,Possible Cobaltstrike C2 IP
118.31.8.234,Possible Cobaltstrike C2 IP
118.89.201.210,Possible Cobaltstrike C2 IP
118.89.71.205,Possible Cobaltstrike C2 IP
119.23.229.180,Possible Cobaltstrike C2 IP
119.23.52.84,Possible Cobaltstrike C2 IP
119.29.145.4,Possible Cobaltstrike C2 IP
119.29.225.65,Possible Cobaltstrike C2 IP
119.3.93.61,Possible Cobaltstrike C2 IP
119.45.250.39,Possible Cobaltstrike C2 IP
119.91.109.228,Possible Cobaltstrike C2 IP
119.91.20.97,Possible Cobaltstrike C2 IP
119.91.207.9,Possible Cobaltstrike C2 IP
119.91.210.105,Possible Cobaltstrike C2 IP
119.91.31.246,Possible Cobaltstrike C2 IP
120.26.50.204,Possible Cobaltstrike C2 IP
120.27.210.80,Possible Cobaltstrike C2 IP
120.27.94.139,Possible Cobaltstrike C2 IP
120.46.164.123,Possible Cobaltstrike C2 IP
120.48.62.132,Possible Cobaltstrike C2 IP
120.48.83.89,Possible Cobaltstrike C2 IP
120.53.220.154,Possible Cobaltstrike C2 IP
120.76.173.159,Possible Cobaltstrike C2 IP
120.78.155.42,Possible Cobaltstrike C2 IP
120.78.156.73,Possible Cobaltstrike C2 IP
120.79.225.52,Possible Cobaltstrike C2 IP
120.79.64.164,Possible Cobaltstrike C2 IP
121.135.44.49,Possible Cobaltstrike C2 IP
121.196.235.124,Possible Cobaltstrike C2 IP
121.199.21.219,Possible Cobaltstrike C2 IP
121.199.32.167,Possible Cobaltstrike C2 IP
121.36.201.189,Possible Cobaltstrike C2 IP
121.36.55.149,Possible Cobaltstrike C2 IP
121.37.135.169,Possible Cobaltstrike C2 IP
121.37.208.189,Possible Cobaltstrike C2 IP
121.37.215.238,Possible Cobaltstrike C2 IP
121.4.154.20,Possible Cobaltstrike C2 IP
121.4.155.50,Possible Cobaltstrike C2 IP
121.4.34.103,Possible Cobaltstrike C2 IP
121.4.49.155,Possible Cobaltstrike C2 IP
121.4.50.245,Possible Cobaltstrike C2 IP
121.4.64.103,Possible Cobaltstrike C2 IP
121.4.97.5,Possible Cobaltstrike C2 IP
121.40.119.94,Possible Cobaltstrike C2 IP
121.40.127.134,Possible Cobaltstrike C2 IP
121.40.234.72,Possible Cobaltstrike C2 IP
121.40.243.103,Possible Cobaltstrike C2 IP
121.40.250.30,Possible Cobaltstrike C2 IP
121.40.66.171,Possible Cobaltstrike C2 IP
121.41.216.139,Possible Cobaltstrike C2 IP
121.41.99.178,Possible Cobaltstrike C2 IP
121.43.189.59,Possible Cobaltstrike C2 IP
121.5.110.242,Possible Cobaltstrike C2 IP
121.5.128.191,Possible Cobaltstrike C2 IP
121.5.129.43,Possible Cobaltstrike C2 IP
121.5.235.93,Possible Cobaltstrike C2 IP
121.5.64.8,Possible Cobaltstrike C2 IP
122.10.118.19,Possible Cobaltstrike C2 IP
122.112.252.8,Possible Cobaltstrike C2 IP
123.207.20.16,Possible Cobaltstrike C2 IP
123.207.213.191,Possible Cobaltstrike C2 IP
123.207.5.159,Possible Cobaltstrike C2 IP
123.207.50.191,Possible Cobaltstrike C2 IP
123.207.51.53,Possible Cobaltstrike C2 IP
123.249.101.92,Possible Cobaltstrike C2 IP
123.249.115.56,Possible Cobaltstrike C2 IP
123.56.24.63,Possible Cobaltstrike C2 IP
123.56.251.79,Possible Cobaltstrike C2 IP
123.60.140.76,Possible Cobaltstrike C2 IP
123.60.151.249,Possible Cobaltstrike C2 IP
123.60.183.195,Possible Cobaltstrike C2 IP
123.60.43.138,Possible Cobaltstrike C2 IP
123.60.74.61,Possible Cobaltstrike C2 IP
123.60.97.110,Possible Cobaltstrike C2 IP
124.220.182.36,Possible Cobaltstrike C2 IP
124.220.19.234,Possible Cobaltstrike C2 IP
124.220.215.247,Possible Cobaltstrike C2 IP
124.220.49.74,Possible Cobaltstrike C2 IP
124.220.91.113,Possible Cobaltstrike C2 IP
124.221.123.55,Possible Cobaltstrike C2 IP
124.221.174.192,Possible Cobaltstrike C2 IP
124.221.183.95,Possible Cobaltstrike C2 IP
124.221.219.154,Possible Cobaltstrike C2 IP
124.221.66.75,Possible Cobaltstrike C2 IP
124.221.76.197,Possible Cobaltstrike C2 IP
124.222.141.231,Possible Cobaltstrike C2 IP
124.222.149.52,Possible Cobaltstrike C2 IP
124.222.19.112,Possible Cobaltstrike C2 IP
124.222.220.126,Possible Cobaltstrike C2 IP
124.222.234.106,Possible Cobaltstrike C2 IP
124.222.24.208,Possible Cobaltstrike C2 IP
124.222.54.66,Possible Cobaltstrike C2 IP
