#domain,ioc
dockerupdate.xyz,Possible Cobalt Strike C2 Domain
docloudstorage.com,Possible Cobalt Strike C2 Fronted Domain
download.localhost-microsoft.com,Possible Cobalt Strike C2 Domain
download.updatebrowser.cn,Possible Cobalt Strike C2 Fronted Domain
drive-east-us-fahybddhebhxejbb.z02.azurefd.net,Possible Cobalt Strike C2 Fronted Domain
drive-us.azureedge.net,Possible Cobalt Strike C2 Fronting Domain
dropper.bilibili360.xyz,Possible Cobalt Strike C2 Domain
endpointinfrart.azureedge.net,Possible Cobalt Strike C2 Domain
epic-games-api.arkoselabs.com,Possible Cobalt Strike C2 Fronted Domain
exchange1.microsoftser.top,Possible Cobalt Strike C2 Domain
exchange2.microsoftser.top,Possible Cobalt Strike C2 Domain
f6d2b014a8664ddd8d859ce64f3741ad.apig.cn-east-3.huaweicloudapis.com,Possible Cobalt Strike C2 Domain
files.jslibc.com,Possible Cobalt Strike C2 Domain
find-ball.com,Possible Cobalt Strike C2 Fronted Domain
firmwarefusion.com,Possible Cobalt Strike C2 Fronted Domain
fk.n0reply.eu.org,Possible Cobalt Strike C2 Domain
g.fyss888.com,Possible Cobalt Strike C2 Domain
gays.egorvlasov.ru,Possible Cobalt Strike C2 Domain
goldensoftware.co.uk,Possible Cobalt Strike C2 Domain
goliathms.azureedge.net,Possible Cobalt Strike C2 Domain
good.bois.sh,Possible Cobalt Strike C2 Domain
gostatts.com,Possible Cobalt Strike C2 Domain
heicehjuisyq.bond,Possible Cobalt Strike C2 Domain
i.xlei.cc,Possible Cobalt Strike C2 Domain
igo0gle.com,Possible Cobalt Strike C2 Domain
ipadd.show,Possible Cobalt Strike C2 Domain
ipv6.beijing-qax.top,Possible Cobalt Strike C2 Domain
jquery.com,Possible Cobalt Strike C2 Fronting Domain
js.msedgeupdate.com,Possible Cobalt Strike C2 Domain
jspassport.ssl.qhimg.com,Possible Cobalt Strike C2 Fronting Domain
jspassport.ssl.qhimg.com.dsa.dnsv1.com,Possible Cobalt Strike C2 Fronted Domain
log.lihaimaoyi.com,Possible Cobalt Strike C2 Domain
log.speech-microsoft.com,Possible Cobalt Strike C2 Domain
login.oraclecloudsig.com,Possible Cobalt Strike C2 Fronting Domain
logs.speech-microsoft.com,Possible Cobalt Strike C2 Domain
m.old.gxjczx.gov.cn,Possible Cobalt Strike C2 Fronted Domain
mail.cncb.info,Possible Cobalt Strike C2 Domain
mgteu4.averatechsolutions.com,Possible Cobalt Strike C2 Fronting Domain
miao.xiaogoubi.top,Possible Cobalt Strike C2 Domain
microsoftwindows.one,Possible Cobalt Strike C2 Domain
mpr23-421-c2.westus2.cloudapp.azure.com,Possible Cobalt Strike C2 Domain
n1.johnchen88.com,Possible Cobalt Strike C2 Domain
newcleos.com,Possible Cobalt Strike C2 Domain
newstatisc.googleinfo.se,Possible Cobalt Strike C2 Domain
nimappche.buzz,Possible Cobalt Strike C2 Domain
nocomp.freeboxos.fr,Possible Cobalt Strike C2 Domain
nodejsmysql.com,Possible Cobalt Strike C2 Domain
ns.b1ing.com,Possible Cobalt Strike C2 Domain
ns.checkavail.space,Possible Cobalt Strike C2 Domain
ns.n0reply.eu.org,Possible Cobalt Strike C2 Domain
ns1.623866.xyz,Possible Cobalt Strike C2 Domain
ns1.akingump.cloud,Possible Cobalt Strike C2 Domain
ns1.aliyunn.com.cn,Possible Cobalt Strike C2 Domain
ns1.baidu12366.xyz,Possible Cobalt Strike C2 Domain
ns1.bwork.online,Possible Cobalt Strike C2 Domain
ns1.centos-yum.xyz,Possible Cobalt Strike C2 Fronted Domain
ns1.chongfan1990.xyz,Possible Cobalt Strike C2 Domain
ns1.crnbchina.top,Possible Cobalt Strike C2 Domain
ns1.dice1018.top,Possible Cobalt Strike C2 Domain
ns1.dingtaIk.tk,Possible Cobalt Strike C2 Fronted Domain
ns1.ftoffice.com,Possible Cobalt Strike C2 Domain
ns1.fuckworldxxx.shop,Possible Cobalt Strike C2 Domain
ns1.fwmtest.cn,Possible Cobalt Strike C2 Domain
ns1.googletagmauager.com,Possible Cobalt Strike C2 Domain
ns1.h1ll0.cs.in,Possible Cobalt Strike C2 Domain
ns1.jd-vip.cn,Possible Cobalt Strike C2 Domain
ns1.kogyoung.com,Possible Cobalt Strike C2 Domain
ns1.microsoft2888.top,Possible Cobalt Strike C2 Domain
ns1.microsoftgame.online,Possible Cobalt Strike C2 Domain
ns1.vip404.eu.org,Possible Cobalt Strike C2 Domain
ns1.weepstakes.com,Possible Cobalt Strike C2 Domain
ns1.zengjunhe.top,Possible Cobalt Strike C2 Domain
ns1.zpepc.net,Possible Cobalt Strike C2 Domain
ns2.0-2.pw,Possible Cobalt Strike C2 Domain
ns2.623866.xyz,Possible Cobalt Strike C2 Domain
ns2.aliyunn.com.cn,Possible Cobalt Strike C2 Domain
ns2.centos-yum.xyz,Possible Cobalt Strike C2 Fronted Domain
ns2.chongfan1990.xyz,Possible Cobalt Strike C2 Domain
ns2.crnbchina.top,Possible Cobalt Strike C2 Domain
ns2.dice1018.top,Possible Cobalt Strike C2 Domain
ns2.dingtaIk.tk,Possible Cobalt Strike C2 Fronted Domain
ns2.fuckworldxxx.shop,Possible Cobalt Strike C2 Domain
ns2.fwmtest.cn,Possible Cobalt Strike C2 Domain
ns2.googletagmauager.com,Possible Cobalt Strike C2 Domain
ns2.h1ll0.cs.in,Possible Cobalt Strike C2 Domain
ns2.jd-vip.cn,Possible Cobalt Strike C2 Domain
ns2.kogyoung.com,Possible Cobalt Strike C2 Domain
ns2.microsoftgame.online,Possible Cobalt Strike C2 Domain
ns2.vip404.eu.org,Possible Cobalt Strike C2 Domain
ns2.zengjunhe.top,Possible Cobalt Strike C2 Domain
ns2.zpepc.net,Possible Cobalt Strike C2 Domain
ns3.aliyunn.com.cn,Possible Cobalt Strike C2 Domain
ns3.chongfan1990.xyz,Possible Cobalt Strike C2 Domain
ns3.fuckworldxxx.shop,Possible Cobalt Strike C2 Domain
ns3.microsoftgame.online,Possible Cobalt Strike C2 Domain
ns3.vip404.eu.org,Possible Cobalt Strike C2 Domain
ns3.zpepc.net,Possible Cobalt Strike C2 Domain
ns8.bpibank.org,Possible Cobalt Strike C2 Domain
ns8.x7z.mom,Possible Cobalt Strike C2 Domain
ns88.nanyafpg.com,Possible Cobalt Strike C2 Domain
ns9.bpibank.org,Possible Cobalt Strike C2 Domain
ns_update1.wps.bj.cn,Possible Cobalt Strike C2 Domain
ns_update2.wps.bj.cn,Possible Cobalt Strike C2 Domain
nt1.227api.com,Possible Cobalt Strike C2 Domain
nt2.227api.com,Possible Cobalt Strike C2 Domain
nt3.227api.com,Possible Cobalt Strike C2 Domain
nytimes.com,Possible Cobalt Strike C2 Fronting Domain
oa.cncb.info,Possible Cobalt Strike C2 Domain
office365.press,Possible Cobalt Strike C2 Domain
ok.ppctech.xyz,Possible Cobalt Strike C2 Domain
onlinetraveler.net,Possible Cobalt Strike C2 Fronted Domain
oob.microsoft360.xyz,Possible Cobalt Strike C2 Domain
oraclecloudsig.com,Possible Cobalt Strike C2 Fronted Domain
pak.update.nadra-pk.org,Possible Cobalt Strike C2 Domain
payloads.one,Possible Cobalt Strike C2 Domain
po.vigorlabs.info,Possible PoshC2 Domain
primo.freshhema.com,Possible Cobalt Strike C2 Fronting Domain
prod-ireland.arkoselabs.com,Possible Cobalt Strike C2 Fronted Domain
pycharm-edu.us,Possible Cobalt Strike C2 Domain
qq.qqweixinzhuce.top,Possible Cobalt Strike C2 Domain
qw.regcssv.com,Possible Cobalt Strike C2 Domain
rdtest.static.hao123-wise.otp.baidu.com.cn,Possible Cobalt Strike C2 Fronting Domain
rdtest.static.hao123-wise.otp.baidu.com.cn.cdn.dnsv1.com,Possible Cobalt Strike C2 Fronted Domain
recommendation.digihealthlocker.com,Possible Cobalt Strike C2 Domain
redir-s49f828c.eastus.cloudapp.azure.com,Possible Cobalt Strike C2 Domain
releases.firmwarefusion.com,Possible Cobalt Strike C2 Fronting Domain
res.mall.10010.cn,Possible Cobalt Strike C2 Fronted Domain
ringatpstul.com,Possible Cobalt Strike C2 Domain
scoring.bois.sh,Possible Cobalt Strike C2 Domain
search.zfly.fun,Possible Cobalt Strike C2 Domain
security-socks.expert,Possible Cobalt Strike C2 Domain
security-socks777.com,Possible Cobalt Strike C2 Domain
service-1cao6cjs-1312654103.gz.apigw.tencentcs.com,Possible Cobalt Strike C2 Domain
service-1scv7ngm-1318428097.gz.apigw.tencentcs.com,Possible Cobalt Strike C2 Domain
service-20ww8i3o-1300612713.gz.tencentapigw.com.cn,Possible Cobalt Strike C2 Domain
service-2saemj0p-1319375115.bj.apigw.tencentcs.com,Possible Cobalt Strike C2 Domain
service-43eyvs26-1312185610.gz.tencentapigw.com.cn,Possible Cobalt Strike C2 Domain
service-6wso9e3t-1257357125.bj.apigw.tencentcs.com,Possible Cobalt Strike C2 Domain
service-75oa09db-1317471892.cd.tencentapigw.com,Possible Cobalt Strike C2 Domain
service-89u0y7ij-1305550121.sh.tencentapigw.com,Possible Cobalt Strike C2 Domain
service-8rv78e5d-1319481525.sh.apigw.tencentcs.com,Possible Cobalt Strike C2 Domain
service-9sehd1r7-1252427727.bj.apigw.tencentcs.com,Possible Cobalt Strike C2 Domain
service-akqr4y12-1300243308.hk.tencentapigw.cn,Possible Cobalt Strike C2 Domain
service-b7g5qx9l-1318401771.bj.apigw.tencentcs.com,Possible Cobalt Strike C2 Domain
service-b7okr3qc-1300276284.nj.tencentapigw.com,Possible Cobalt Strike C2 Domain
service-bjb5aex0-1318428097.gz.tencentapigw.com.cn,Possible Cobalt Strike C2 Domain
service-bvvdi136-1317500845.gz.tencentapigw.com,Possible Cobalt Strike C2 Domain
service-cedqvyh7-1322145958.sh.tencentapigw.com,Possible Cobalt Strike C2 Domain
service-cufhwy32-1317863896.gz.apigw.tencentcs.com,Possible Cobalt Strike C2 Domain
service-d1ssjklq-1306655841.gz.tencentapigw.com.cn,Possible Cobalt Strike C2 Domain
service-d1yss7wi-1314780031.nj.apigw.tencentcs.com,Possible Cobalt Strike C2 Domain
service-dj3eqgq2-1316113086.gz.apigw.tencentcs.com,Possible Cobalt Strike C2 Domain
service-eh2fyewb-1301153563.sh.apigw.tencentcs.com,Possible Cobalt Strike C2 Domain
service-hsyluctr-1252427727.bj.tencentapigw.com,Possible Cobalt Strike C2 Domain
service-hzdzk12c-1318485841.gz.apigw.tencentcs.com,Possible Cobalt Strike C2 Domain
service-jby1ivts-1324864909.hk.tencentapigw.cn,Possible Cobalt Strike C2 Domain
service-jnajkkdg-1318687485.gz.apigw.tencentcs.com,Possible Cobalt Strike C2 Domain
service-kjjaddjc-1309114380.gz.tencentapigw.com.cn,Possible Cobalt Strike C2 Domain
service-lhtzt3wh-1319979259.sh.tencentapigw.com,Possible Cobalt Strike C2 Domain
service-lidgmacv-1317471912.cd.tencentapigw.com,Possible Cobalt Strike C2 Domain
service-mlanbdgq-1301500665.gz.tencentapigw.com.cn,Possible Cobalt Strike C2 Domain
service-n14rot1h-1303081427.sh.tencentapigw.com,Possible Cobalt Strike C2 Domain
service-ps16whvt-1304800271.sh.tencentapigw.com,Possible Cobalt Strike C2 Domain
service-qwflcy7c-1305872204.gz.tencentapigw.com.cn,Possible Cobalt Strike C2 Domain
